sku,name,description,meta_description,	meta_title,url_key,Price,qty,base_image,base_image_label,small_image,small_image_label,categories,product_type
17642,"Корм Vitapol полнорационный, для хомяков, 400 г","<h2>Корм Vitapol полнорационный, для хомяков, 400 г</h2><p><b>Полнорационный корм для Хомяков Vitapol,</b> мягкая упаковка<b>.</b></p><p><b>Состав:</b></p><ul><li>хлебное зерно и хлебопродукты 48 %,</li><li>зерновой гранулят 30 %, овощи 16 %,</li><li>хлебобулочные изделия 4 %, масличные семена 2 %.</li></ul><p>Применять в качестве полнорационного корма.</p><p><b>Вес:</b> 400г.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для хомяков, 400 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для хомяков, 400 г купить в Киеве, Днепре, Украине",vitapol-17642,44.0000,1,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103756.JPEG,"Корм Vitapol полнорационный, для хомяков, 400 г",,"Корм Vitapol полнорационный, для хомяков, 400 г",Товары для грызунов/Корм для грызунов,simple
17643,"Корм Vitapol полнорационный, фруктовый, для хомяков, 400 г","<h2>Корм Vitapol полнорационный, фруктовый, для хомяков, 400 г</h2><p><b>VITAPOL</b> корм для хомячков фруктовый в мягкой упаковке.</p><p>Корм для хомяков с кусочками сушеных фруктов.</p><p><b>Вес:</b> 400 г.</p><p><b>Артикул производителя:</b> ZVP-0103.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, фруктовый, для хомяков, 400 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, фруктовый, для хомяков, 400 г купить в Киеве, Днепре, Украине",vitapol-17643,54.0000,0,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103757.JPEG,"Корм Vitapol полнорационный, фруктовый, для хомяков, 400 г",,"Корм Vitapol полнорационный, фруктовый, для хомяков, 400 г",Товары для грызунов/Корм для грызунов,simple
17644,"Корм Vitapol полнорационный, хомяков, 500 г","<h2>Корм Vitapol полнорационный, хомяков, 500 г</h2><p><b>Полнорационный корм для Хомяков Vitapol, </b>мягкая упаковка.</p><p><b>Состав:</b></p><ul><li>хлебное зерно и хлебопродукты 48 %,</li><li>зерновой гранулят 30 %, овощи 16 %,</li><li>хлебобулочные изделия 4 %, масличные семена 2 %.</li></ul><p>Применять в качестве полнорационного корма.</p><p><b>Артикул:</b> ZVP-1100.</p><p><b>Вес:</b> 500г.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, хомяков, 500 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, хомяков, 500 г купить в Киеве, Днепре, Украине",vitapol-17644,51.0000,452,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103758.JPEG,"Корм Vitapol полнорационный, хомяков, 500 г",,"Корм Vitapol полнорационный, хомяков, 500 г",Товары для грызунов/Корм для грызунов,simple
17652,"Корм Vitapol полнорационный, для шиншиллы, 25 кг","<h2>Корм Vitapol полнорационный, для шиншиллы, 25 кг</h2><p><b>VITAPOL Полнорационный корм для Шиншиллы, </b>мешок.<b><br /></b></p><p><b>Описание:</b></p><p>Полнорационный корм для шиншилл. <br /><br /><b>Состав: </b></p><ul><li>Протеины: 18,5%;</li><li>Жиры: 4,5%;</li><li>Клетчатка: 12%;</li><li>Зола: 4,1%.</li></ul><p><b>Ингридиенты: </b>пшеница, ячмень, зерновой гранулят, плоды терновника, шиповник, лен, кукуруза, овес, сушеная крапива, рябина, подсолнечник, кора вербы, хлебопродукты собственного изготовления.</p><p><b>Вес:</b> 25 кг.</p><p><b>Артикул производителя</b>: ZVP-1691.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для шиншиллы, 25 кг в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для шиншиллы, 25 кг купить в Киеве, Днепре, Украине",vitapol-17652,1533.0000,0,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103761.JPEG,"Корм Vitapol полнорационный, для шиншиллы, 25 кг",,"Корм Vitapol полнорационный, для шиншиллы, 25 кг",Товары для грызунов/Корм для грызунов,simple
17653,"Корм Vitapol полнорационный, для шиншиллы, 2 кг, ведро 3 л","<h2>Корм Vitapol полнорационный, для шиншиллы, 2 кг, ведро 3 л</h2><p><b>Витапол полнорационный корм для Шиншиллы, </b>ведро.<b><br /></b></p><p><b>Описание:</b></p><p>Полноценный корм для шиншилл. <br /><br /><b>Состав: </b></p><ul><li>Протеины: 18,5%</li><li>Жиры: 4,5%</li><li>Клетчатка: 12%</li><li>Зола: 4,1%</li></ul><p><b>Ингридиенты: </b></p><p>Пшеница, ячмень, зерновой гранулят, плоды терновника, шиповник, лен, кукуруза, овес, сушеная крапива, рябина, подсолнечник, кора вербы, хлебопродукты собственного изготовления.</p><p><b>Вес:</b> 2 кг.</p><p><b>Объем:</b> 3 л.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для шиншиллы, 2 кг, ведро 3 л в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для шиншиллы, 2 кг, ведро 3 л купить в Киеве, Днепре, Украине",vitapol-17653,208.0000,0,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103762.JPEG,"Корм Vitapol полнорационный, для шиншиллы, 2 кг, ведро 3 л",,"Корм Vitapol полнорационный, для шиншиллы, 2 кг, ведро 3 л",Товары для грызунов/Корм для грызунов,simple
17654,"Корм Vitapol полнорационный, для шиншиллы, 450 г","<h2>Корм Vitapol полнорационный, для шиншиллы, 450 г</h2><p><b>VITAPOL Полнорационный корм для Шиншиллы, </b>картонная упаковка.<b><br /></b></p><p><b>Описание:</b></p><p>Полноценный корм для шиншилл. <br /><br /><b>Состав: </b></p><ul><li>Протеины: 18,5%</li><li>Жиры: 4,5%</li><li>Клетчатка: 12%</li><li>Зола: 4,1%</li></ul><p><b>Ингридиенты: </b>пшеница, ячмень, зерновой гранулят, плоды терновника, шиповник, лен, кукуруза, овес, сушеная крапива, рябина, подсолнечник, кора вербы, хлебопродукты собственного изготовления.</p><p><b>Вес:</b> 450 г.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для шиншиллы, 450 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для шиншиллы, 450 г купить в Киеве, Днепре, Украине",vitapol-17654,66.0000,3066,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103763.JPEG,"Корм Vitapol полнорационный, для шиншиллы, 450 г",,"Корм Vitapol полнорационный, для шиншиллы, 450 г",Товары для грызунов/Корм для грызунов,simple
17683,"Песок Vitapol для шиншилл, 1.5 кг","<h2>Песок Vitapol для шиншилл, 1.5 кг</h2><p><b>Vitapol</b> Песок для шиншилл.</p><p>Песок предназначен для использования в качестве наполнителя в клетках, где содержаться шиншиллы. Шиншиллы в нем ""купаются"", чистят шерсть.</p><p><b>Вес</b>: 1.5 кг.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Песок Vitapol для шиншилл, 1.5 кг в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Песок Vitapol для шиншилл, 1.5 кг купить в Киеве, Днепре, Украине",vitapol-17683,57.0000,83,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103767.JPEG,"Песок Vitapol для шиншилл, 1.5 кг",https://zoocomplex.com.ua/image/catalog/image/import_products/product_image-103767-1.JPEG,"Песок Vitapol для шиншилл, 1.5 кг",Товары для грызунов/Подстилки для грызунов,simple
17685,"Сено Vitapol для грызунов, 800 г","<h2>Сено Vitapol для грызунов, 800 г</h2><p><b>Vitapol. Сено для грызунов. </b></p><p><b>Состав:</b></p><ul><li>Сено 98%;</li><li>Другие растения 2%;</li></ul><p><b>Содержание:</b></p><ul><li>Белки 20,4%;</li><li>Жир 3,8%;</li><li>Зола 21%;</li><li>Пепел 9,4%;</li></ul><p><b>Масса:</b> 800 г.</p><center><iframe src=""https://www.youtube.com/embed/JKUGhMZVy0w"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></center><p><b>Производитель: Vitapol</b></p><p><b>Страна производитель: Польша</b></p>","Купить Сено Vitapol для грызунов, 800 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Сено Vitapol для грызунов, 800 г купить в Киеве, Днепре, Украине",vitapol-17685,66.0000,3071,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103768.JPEG,"Сено Vitapol для грызунов, 800 г",https://zoocomplex.com.ua/image/catalog/image/import_products/product_image-103768-1.JPEG,"Сено Vitapol для грызунов, 800 г",Товары для грызунов/Корм для грызунов,simple
20934,"Клетка Tesoro 700 для кроликов, 58х32х30 см","<h2>Клетка Tesoro 700 для кроликов, 58х32х30 см</h2><p><b>Tesoro 700</b> (Тесоро 700)</p><p>Клетка для кроликов, морских свинок и других грызунов среднего размера.</p><p>Оборудованы всем необходимым для комфортной жизни Вашего маленького друга. Широкий ассортимент позволит Вам подобрать клетку под Ваш интерьер, разнообразие наполнения клеток - под размер и характер Вашего любимца.</p><p><b>Размер:</b> 58х32х30 см.</p><p><b>Цвета в ассортименте, уточняйте у менеджера при заказе</b></p><p>  <b>Производитель: Tesoro</b></p><p>  <b>Страна производитель: Китай</b></p>","Купить Клетка Tesoro 700 для кроликов, 58х32х30 см в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Клетка Tesoro 700 для кроликов, 58х32х30 см купить в Киеве, Днепре, Украине",tesoro-20934,396.0000,350,https://zoocomplex.com.ua/image/catalog/product-104088.jpg,"Клетка Tesoro 700 для кроликов, 58х32х30 см",,"Клетка Tesoro 700 для кроликов, 58х32х30 см",Товары для грызунов/Клетки для грызунов,simple
20935,"Клетка Tesoro 706 для кроликов, 62х35х38 см","<h2>Клетка Tesoro 706 для кроликов, 62х35х38 см</h2><p><b>Tesoro706&nbsp;(Тесоро706)</b></p><p>Клетка для кроликов, морских свинок и других грызунов среднего размера.</p><p>Оборудованы всем необходимым для комфортной жизни Вашего маленького друга. Широкий ассортимент позволит Вам подобрать клетку под Ваш интерьер, разнообразие наполнения клеток - под размер и характер Вашего любимца.</p><p><b>Размер:</b> 62х35х38 см.</p><p><b>Цвета в ассортименте, уточняйте у менеджера при заказе</b></p><p>  <b>Производитель: Tesoro</b></p><p>  <b>Страна производитель: Китай</b></p>","Купить Клетка Tesoro 706 для кроликов, 62х35х38 см в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Клетка Tesoro 706 для кроликов, 62х35х38 см купить в Киеве, Днепре, Украине",tesoro-20935,430.0000,253,https://zoocomplex.com.ua/image/catalog/image/import_products/product-104089.JPEG,"Клетка Tesoro 706 для кроликов, 62х35х38 см",,"Клетка Tesoro 706 для кроликов, 62х35х38 см",Товары для грызунов/Клетки для грызунов,simple
20936,"Клетка Tesoro 708 для кроликов, 80х48х46 см","<h2>Клетка Tesoro 708 для кроликов, 80х48х46 см</h2><p><b>Tesoro 708</b> (Тесоро 708)</p><p>Клетка для кроликов, морских свинок и других грызунов среднего размера.</p><p>В комплекте поилка и сенник.</p><p>Оборудованы всем необходимым для комфортной жизни Вашего маленького друга. Широкий ассортимент позволит Вам подобрать клетку под Ваш интерьер, разнообразие наполнения клеток - под размер и характер Вашего любимца.</p><p><b>Размер:</b> 80х48х46 см.</p><p><b>Высота поддона:</b> 16 см.</p><p><b>Цвета в ассортименте, уточняйте у менеджера при заказе</b></p><p>  <b>Производитель: Tesoro</b></p><p>  <b>Страна производитель: Китай</b></p>","Купить Клетка Tesoro 708 для кроликов, 80х48х46 см в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Клетка Tesoro 708 для кроликов, 80х48х46 см купить в Киеве, Днепре, Украине",tesoro-20936,726.0000,142,https://zoocomplex.com.ua/image/catalog/product-104090.jpg,"Клетка Tesoro 708 для кроликов, 80х48х46 см",,"Клетка Tesoro 708 для кроликов, 80х48х46 см",Товары для грызунов/Клетки для грызунов,simple
20937,"Клетка Tesoro 710 для кроликов, 100х52х44 см","<h2>Клетка Tesoro 710 для кроликов, 100х52х44 см</h2><p>Клетка для кроликов, морских свинок и других грызунов среднего размера.</p><p>Оборудованы всем необходимым для комфортной жизни Вашего маленького друга. Широкий ассортимент позволит Вам подобрать клетку под Ваш интерьер, разнообразие наполнения клеток - под размер и характер Вашего любимца.</p><p><b>Размеры:</b> 100х52х44 см.</p><p><b>Цвета в ассортименте, уточняйте у менеджера при заказе</b></p><p>  <b>Производитель: Tesoro</b></p><p>  <b>Страна производитель: Китай</b></p>","Купить Клетка Tesoro 710 для кроликов, 100х52х44 см в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Клетка Tesoro 710 для кроликов, 100х52х44 см купить в Киеве, Днепре, Украине",tesoro-20937,863.0000,0,https://zoocomplex.com.ua/image/catalog/image/import_products/product-104091.JPEG,"Клетка Tesoro 710 для кроликов, 100х52х44 см",,"Клетка Tesoro 710 для кроликов, 100х52х44 см",Товары для грызунов/Клетки для грызунов,simple
